classAbbr,studentId,semester,grade
"PWA2",914805389.0,"1308",99.0
"ATW",914805389.0,"1004",84.0
"SSL",914805389.0,"1105",82.0
"ADB",942083622.0,"1409",97.0
"WPP",942083622.0,"1210",75.0
"DBS",942083622.0,"1304",93.0
"SSL",942083622.0,"1110",95.0
"ATW",942083622.0,"1401",61.0
"DBS",942083622.0,"1001",89.0
"PWA2",637084663.0,"1208",99.0
"ADT",637084663.0,"1411",95.0
"ATW",637084663.0,"1411",98.0
"ADT",637084663.0,"1110",71.0
"DBS",637084663.0,"1208",92.0
"ADT",637084663.0,"1201",76.0
"PWA1",195892999.0,"1008",63.0
"SMS",195892999.0,"1409",67.0
"ADT",195892999.0,"1302",73.0
"WPP",195892999.0,"1011",74.0
"ADT",195892999.0,"1301",66.0
"PWA2",195892999.0,"1108",64.0
"PWA2",522202309.0,"1206",80.0
"ATW",522202309.0,"1008",99.0
"DBS",522202309.0,"1309",81.0
"ADB",522202309.0,"1401",60.0
"SSL",522202309.0,"1107",63.0
"PWA2",522202309.0,"1412",100.0
"ATW",227024095.0,"1203",92.0
"ADT",227024095.0,"1003",67.0
"DBS",227024095.0,"1302",84.0
"PWA1",227024095.0,"1003",61.0
"PWA1",227024095.0,"1305",88.0
"PWA2",227024095.0,"1210",66.0
"DBS",850845613.0,"1111",93.0
"ADB",850845613.0,"1312",97.0
"PWA2",850845613.0,"1307",66.0
"WPP",850845613.0,"1309",89.0
"ADT",850845613.0,"1101",96.0
"SMS",850845613.0,"1009",73.0
"SSL",457357628.0,"1011",66.0
"PWA1",457357628.0,"1412",85.0
"PWA1",457357628.0,"1412",81.0
"SMS",457357628.0,"1407",78.0
"SMS",457357628.0,"1305",68.0
"ASL",457357628.0,"1001",90.0
"ATW",949464703.0,"1104",86.0
"ATW",949464703.0,"1301",91.0
"ASL",949464703.0,"1001",81.0
"ATW",949464703.0,"1303",100.0
"SSL",949464703.0,"1309",82.0
"ADT",949464703.0,"1001",98.0
"ADB",320034510.0,"1109",71.0
"SSL",320034510.0,"1403",76.0
"PWA2",320034510.0,"1401",100.0
"WPP",320034510.0,"1408",63.0
"SMS",320034510.0,"1004",80.0
"PWA2",320034510.0,"1102",66.0
"DBS",722306270.0,"1202",88.0
"SMS",722306270.0,"1312",90.0
"SMS",722306270.0,"1111",73.0
"SSL",722306270.0,"1107",73.0
"ASL",722306270.0,"1203",63.0
"ADT",722306270.0,"1112",72.0
"WPP",482966113.0,"1310",82.0
"WPP",482966113.0,"1304",73.0
"WPP",482966113.0,"1409",84.0
"SSL",482966113.0,"1201",64.0
"WPP",482966113.0,"1107",81.0
"ASL",482966113.0,"1410",74.0
"WPP",917413707.0,"1206",94.0
"WPP",917413707.0,"1004",82.0
"ADB",917413707.0,"1406",87.0
"SMS",917413707.0,"1307",61.0
"ASL",917413707.0,"1012",98.0
"ATW",917413707.0,"1003",79.0
"ATW",777532130.0,"1107",83.0
"ASL",777532130.0,"1307",67.0
"ATW",777532130.0,"1101",70.0
"PWA2",777532130.0,"1202",77.0
"DBS",777532130.0,"1306",91.0
"SMS",777532130.0,"1203",79.0
"ADB",264847939.0,"1306",75.0
"ATW",264847939.0,"1002",76.0
"SSL",264847939.0,"1302",72.0
"SSL",264847939.0,"1106",83.0
"WPP",264847939.0,"1303",95.0
"ADB",264847939.0,"1211",87.0
"SMS",655519723.0,"1008",94.0
"ADT",655519723.0,"1001",65.0
"ADT",655519723.0,"1103",86.0
"PWA1",655519723.0,"1304",70.0
"ADB",655519723.0,"1206",100.0
"SSL",655519723.0,"1004",91.0
"DBS",256625879.0,"1310",60.0
"ADT",256625879.0,"1408",72.0
"SMS",256625879.0,"1210",84.0
"ASL",256625879.0,"1402",96.0
"ADB",256625879.0,"1406",92.0
"ASL",256625879.0,"1307",87.0
"ADT",558038121.0,"1303",92.0
"DBS",558038121.0,"1212",65.0
"ADT",558038121.0,"1406",69.0
"ADT",558038121.0,"1310",62.0
"ADT",558038121.0,"1107",80.0
"WPP",558038121.0,"1208",73.0
"ADB",502623851.0,"1207",98.0
"PWA2",502623851.0,"1306",93.0
"ASL",502623851.0,"1104",78.0
"PWA2",502623851.0,"1210",66.0
"PWA1",502623851.0,"1409",87.0
"DBS",502623851.0,"1403",63.0
"PWA2",770044556.0,"1310",76.0
"SSL",770044556.0,"1311",75.0
"SSL",770044556.0,"1306",100.0
"ATW",770044556.0,"1112",79.0
"ASL",770044556.0,"1208",64.0
"ADT",770044556.0,"1401",65.0
"PWA2",726848549.0,"1405",98.0
"ADT",726848549.0,"1309",83.0
"PWA2",726848549.0,"1007",70.0
"DBS",726848549.0,"1406",89.0
"SMS",726848549.0,"1212",87.0
"ADB",726848549.0,"1204",94.0
"ASL",475492712.0,"1011",77.0
"WPP",475492712.0,"1202",60.0
"PWA1",475492712.0,"1012",85.0
"ADB",475492712.0,"1203",95.0
"PWA2",475492712.0,"1210",98.0
"SMS",475492712.0,"1204",76.0
"ATW",983387668.0,"1411",72.0
"PWA2",983387668.0,"1409",88.0
"SSL",983387668.0,"1011",75.0
"WPP",983387668.0,"1404",73.0
"ADB",983387668.0,"1402",73.0
"PWA1",983387668.0,"1405",81.0
"WPP",391962621.0,"1204",85.0
"ATW",391962621.0,"1308",89.0
"ATW",391962621.0,"1405",85.0
"PWA2",391962621.0,"1007",91.0
"ASL",391962621.0,"1401",91.0
"SMS",391962621.0,"1107",62.0
"ATW",901689843.0,"1005",71.0
"SMS",901689843.0,"1007",65.0
"WPP",901689843.0,"1101",66.0
"ASL",901689843.0,"1310",91.0
"PWA2",901689843.0,"1205",68.0
"ASL",901689843.0,"1002",95.0
"ADB",902156633.0,"1007",79.0
"SMS",902156633.0,"1005",69.0
"SSL",902156633.0,"1311",83.0
"ADB",902156633.0,"1001",77.0
"PWA2",902156633.0,"1004",90.0
"SMS",902156633.0,"1011",76.0
"SSL",182495094.0,"1107",68.0
"DBS",182495094.0,"1302",69.0
"PWA2",182495094.0,"1205",73.0
"SMS",182495094.0,"1210",84.0
"DBS",182495094.0,"1110",81.0
"ADT",182495094.0,"1107",81.0
"WPP",404091124.0,"1207",67.0
"ADT",404091124.0,"1404",69.0
"ADT",404091124.0,"1206",72.0
"PWA2",404091124.0,"1308",65.0
"PWA1",404091124.0,"1401",83.0
"SMS",404091124.0,"1301",62.0
"PWA2",627617653.0,"1209",66.0
"WPP",627617653.0,"1106",77.0
"PWA2",627617653.0,"1304",92.0
"PWA2",627617653.0,"1204",75.0
"SSL",627617653.0,"1312",85.0
"ASL",627617653.0,"1008",68.0
"PWA2",290077936.0,"1410",70.0
"ADB",290077936.0,"1110",76.0
"SMS",290077936.0,"1404",74.0
"ADB",290077936.0,"1302",65.0
"SSL",290077936.0,"1401",85.0
"DBS",290077936.0,"1208",96.0
"DBS",315543183.0,"1006",94.0
"SMS",315543183.0,"1301",69.0
"ASL",315543183.0,"1103",91.0
"PWA2",315543183.0,"1310",64.0
"DBS",315543183.0,"1007",88.0
"PWA1",315543183.0,"1310",71.0
"SMS",487788247.0,"1203",60.0
"ADB",487788247.0,"1203",83.0
"ASL",487788247.0,"1011",87.0
"DBS",487788247.0,"1002",76.0
"ATW",487788247.0,"1407",99.0
"ASL",487788247.0,"1311",95.0
"SMS",643965250.0,"1011",76.0
"WPP",643965250.0,"1310",60.0
"ADB",643965250.0,"1406",78.0
"WPP",643965250.0,"1006",66.0
"SSL",643965250.0,"1004",61.0
"SSL",643965250.0,"1305",64.0
"ATW",410284934.0,"1311",69.0
"PWA2",410284934.0,"1010",94.0
"ADB",410284934.0,"1104",84.0
"PWA1",410284934.0,"1106",95.0
"DBS",410284934.0,"1412",91.0
"DBS",410284934.0,"1008",81.0
"WPP",721152508.0,"1301",62.0
"ASL",721152508.0,"1105",87.0
"SMS",721152508.0,"1304",66.0
"SMS",721152508.0,"1002",87.0
"ASL",721152508.0,"1309",90.0
"ADT",721152508.0,"1206",60.0
"PWA2",343597091.0,"1108",97.0
"ADB",343597091.0,"1008",87.0
"ADB",343597091.0,"1307",75.0
"ADT",343597091.0,"1106",88.0
"PWA1",343597091.0,"1302",86.0
"ADT",343597091.0,"1402",76.0
"ADT",834420464.0,"1202",72.0
"DBS",834420464.0,"1307",97.0
"ADB",834420464.0,"1210",76.0
"ADB",834420464.0,"1206",91.0
"DBS",834420464.0,"1411",70.0
"PWA1",834420464.0,"1210",100.0
"ASL",492067200.0,"1307",80.0
"SSL",492067200.0,"1004",87.0
"SSL",492067200.0,"1303",60.0
"PWA2",492067200.0,"1005",88.0
"SSL",492067200.0,"1310",78.0
"SMS",492067200.0,"1207",64.0
"SMS",779187138.0,"1212",81.0
"SSL",779187138.0,"1312",66.0
"WPP",779187138.0,"1204",74.0
"ASL",779187138.0,"1408",78.0
"ADB",779187138.0,"1309",72.0
"ASL",779187138.0,"1104",92.0
"ASL",739856206.0,"1009",68.0
"ASL",739856206.0,"1012",84.0
"SMS",739856206.0,"1201",93.0
"ADT",739856206.0,"1101",98.0
"ADB",739856206.0,"1209",79.0
"WPP",739856206.0,"1008",89.0
"ADT",960691384.0,"1303",69.0
"ASL",960691384.0,"1112",83.0
"ASL",960691384.0,"1009",72.0
"DBS",960691384.0,"1106",86.0
"SSL",960691384.0,"1102",83.0
"PWA1",960691384.0,"1002",88.0
"SMS",626413386.0,"1312",70.0
"ADB",626413386.0,"1403",69.0
"DBS",626413386.0,"1210",78.0
"ADB",626413386.0,"1108",82.0
"SSL",626413386.0,"1409",75.0
"SMS",626413386.0,"1109",81.0
"SMS",403668090.0,"1306",77.0
"ASL",403668090.0,"1101",69.0
"SMS",403668090.0,"1109",100.0
"PWA1",403668090.0,"1401",97.0
"ADB",403668090.0,"1204",63.0
"SMS",403668090.0,"1402",99.0
"PWA1",591803428.0,"1110",71.0
"ATW",591803428.0,"1108",83.0
"ADB",591803428.0,"1001",95.0
"ADB",591803428.0,"1101",71.0
"ADB",591803428.0,"1009",99.0
"PWA2",591803428.0,"1309",83.0
"ATW",818424348.0,"1310",99.0
"ADB",818424348.0,"1107",96.0
"SMS",818424348.0,"1308",70.0
"SSL",818424348.0,"1111",77.0
"WPP",818424348.0,"1306",83.0
"SMS",818424348.0,"1307",94.0
"ADT",601010831.0,"1402",70.0
"WPP",601010831.0,"1001",66.0
"ADT",601010831.0,"1010",63.0
"DBS",601010831.0,"1302",73.0
"DBS",601010831.0,"1209",82.0
"ATW",601010831.0,"1011",63.0
"PWA1",477326014.0,"1405",100.0
"ADB",477326014.0,"1407",87.0
"WPP",477326014.0,"1403",63.0
"ASL",477326014.0,"1112",97.0
"ASL",477326014.0,"1006",93.0
"ADT",477326014.0,"1302",84.0
"ADB",731788349.0,"1409",82.0
"PWA1",731788349.0,"1112",97.0
"SMS",731788349.0,"1408",84.0
"ADT",731788349.0,"1108",72.0
"ATW",731788349.0,"1303",96.0
"ADT",731788349.0,"1001",88.0
"SMS",865467300.0,"1404",60.0
"SMS",865467300.0,"1409",74.0
"SSL",865467300.0,"1105",93.0
"PWA2",865467300.0,"1107",66.0
"PWA1",865467300.0,"1008",71.0
"ADB",865467300.0,"1410",81.0
"WPP",734277666.0,"1003",90.0
"ADB",734277666.0,"1308",89.0
"DBS",734277666.0,"1303",93.0
"WPP",734277666.0,"1204",83.0
"ATW",734277666.0,"1010",66.0
"ADT",734277666.0,"1402",94.0
"ASL",464709694.0,"1306",68.0
"PWA1",464709694.0,"1212",73.0
"SSL",464709694.0,"1303",78.0
"ASL",464709694.0,"1406",96.0
"ADT",464709694.0,"1103",85.0
"ADT",464709694.0,"1307",89.0
"SSL",714975319.0,"1106",92.0
"ADT",714975319.0,"1003",95.0
"DBS",714975319.0,"1201",63.0
"ADT",714975319.0,"1111",100.0
"PWA1",714975319.0,"1104",80.0
"DBS",714975319.0,"1008",60.0
"DBS",330592844.0,"1302",91.0
"ASL",330592844.0,"1306",89.0
"SMS",330592844.0,"1112",66.0
"WPP",330592844.0,"1408",93.0
"ADT",330592844.0,"1302",67.0
"DBS",330592844.0,"1010",96.0
"ATW",344459118.0,"1307",95.0
"PWA2",344459118.0,"1402",70.0
"DBS",344459118.0,"1408",84.0
"SSL",344459118.0,"1109",82.0
"ADT",344459118.0,"1412",63.0
"PWA2",344459118.0,"1312",71.0
"PWA1",224963839.0,"1401",95.0
"PWA2",224963839.0,"1202",75.0
"ADB",224963839.0,"1401",92.0
"WPP",224963839.0,"1110",99.0
"ADB",224963839.0,"1104",68.0
"PWA1",224963839.0,"1406",98.0
"PWA1",615745206.0,"1207",80.0
"ADT",615745206.0,"1208",84.0
"ATW",615745206.0,"1205",100.0
"PWA1",615745206.0,"1312",84.0
"ADT",615745206.0,"1309",62.0
"PWA2",615745206.0,"1312",95.0
"WPP",274991198.0,"1409",86.0
"ADB",274991198.0,"1203",73.0
"DBS",274991198.0,"1301",82.0
"PWA2",274991198.0,"1302",93.0
"ADB",274991198.0,"1006",88.0
"PWA1",274991198.0,"1006",93.0
"ASL",583024520.0,"1105",80.0
"ADB",583024520.0,"1109",64.0
"ADT",583024520.0,"1112",82.0
"DBS",583024520.0,"1108",71.0
"SSL",583024520.0,"1008",100.0
"WPP",583024520.0,"1212",74.0
"SSL",705547905.0,"1111",65.0
"ADB",705547905.0,"1308",81.0
"WPP",705547905.0,"1009",74.0
"WPP",705547905.0,"1405",66.0
"ADT",705547905.0,"1409",65.0
"ADT",705547905.0,"1406",88.0
"SSL",534531651.0,"1401",78.0
"PWA1",534531651.0,"1402",88.0
"PWA2",534531651.0,"1111",77.0
"ASL",534531651.0,"1206",63.0
"SSL",534531651.0,"1412",100.0
"WPP",534531651.0,"1010",68.0
"SMS",933957857.0,"1310",77.0
"SMS",933957857.0,"1211",77.0
"SMS",933957857.0,"1109",72.0
"DBS",933957857.0,"1202",89.0
"ADB",933957857.0,"1208",90.0
"ATW",933957857.0,"1311",94.0
"DBS",904855552.0,"1010",89.0
"DBS",904855552.0,"1208",63.0
"PWA2",904855552.0,"1007",92.0
"PWA1",904855552.0,"1403",72.0
"ATW",904855552.0,"1210",65.0
"ASL",904855552.0,"1206",67.0
"ADB",307856905.0,"1111",65.0
"DBS",307856905.0,"1201",66.0
"SMS",307856905.0,"1306",98.0
"ASL",307856905.0,"1205",79.0
"DBS",307856905.0,"1006",63.0
"ADT",307856905.0,"1310",97.0
"PWA1",942848828.0,"1201",76.0
"ADB",942848828.0,"1008",99.0
"PWA1",942848828.0,"1301",86.0
"ATW",942848828.0,"1001",81.0
"SSL",942848828.0,"1412",68.0
"WPP",942848828.0,"1104",76.0
"ATW",476815167.0,"1308",69.0
"ASL",476815167.0,"1003",70.0
"ASL",476815167.0,"1201",73.0
"ADB",476815167.0,"1405",98.0
"ADB",476815167.0,"1009",67.0
"ASL",476815167.0,"1111",60.0
"ATW",164564620.0,"1107",74.0
"PWA2",164564620.0,"1110",79.0
"ASL",164564620.0,"1403",62.0
"SMS",164564620.0,"1203",90.0
"PWA2",164564620.0,"1212",78.0
"ADT",164564620.0,"1406",100.0
"ADB",698212679.0,"1010",80.0
"SMS",698212679.0,"1407",74.0
"ATW",698212679.0,"1401",95.0
"PWA1",698212679.0,"1210",87.0
"ASL",698212679.0,"1411",66.0
"SMS",698212679.0,"1208",85.0
"ADT",192634108.0,"1205",82.0
"PWA1",192634108.0,"1403",85.0
"SSL",192634108.0,"1309",87.0
"ADB",192634108.0,"1003",68.0
"WPP",192634108.0,"1011",85.0
"DBS",192634108.0,"1205",91.0
"SMS",549687160.0,"1412",64.0
"WPP",549687160.0,"1203",62.0
"PWA2",549687160.0,"1308",90.0
"PWA2",549687160.0,"1106",88.0
"DBS",549687160.0,"1012",100.0
"ADB",549687160.0,"1001",75.0
"PWA2",732454132.0,"1108",61.0
"PWA2",732454132.0,"1007",94.0
"WPP",732454132.0,"1305",77.0
"ADB",732454132.0,"1104",84.0
"SMS",732454132.0,"1007",70.0
"SSL",732454132.0,"1103",87.0
"DBS",259632555.0,"1005",69.0
"ADB",259632555.0,"1212",85.0
"ADT",259632555.0,"1408",63.0
"WPP",259632555.0,"1201",67.0
"PWA1",259632555.0,"1201",68.0
"ASL",259632555.0,"1303",91.0
"PWA2",521245132.0,"1105",86.0
"ADB",521245132.0,"1310",98.0
"PWA2",521245132.0,"1004",79.0
"ADT",521245132.0,"1407",98.0
"PWA1",521245132.0,"1306",100.0
"ATW",521245132.0,"1310",68.0
"PWA1",981496857.0,"1404",68.0
"WPP",981496857.0,"1208",100.0
"ASL",981496857.0,"1112",79.0
"ASL",981496857.0,"1407",65.0
"ADT",981496857.0,"1402",64.0
"ADT",981496857.0,"1008",67.0
"ADB",673227206.0,"1402",77.0
"ADB",673227206.0,"1406",62.0
"SSL",673227206.0,"1310",82.0
"PWA1",673227206.0,"1305",84.0
"DBS",673227206.0,"1409",83.0
"PWA2",673227206.0,"1410",75.0
"ADB",864293956.0,"1412",80.0
"ATW",864293956.0,"1202",99.0
"PWA2",864293956.0,"1201",80.0
"PWA2",864293956.0,"1008",85.0
"ADT",864293956.0,"1011",89.0
"ASL",864293956.0,"1206",76.0
"ASL",131449295.0,"1301",91.0
"PWA2",131449295.0,"1408",62.0
"SSL",131449295.0,"1002",78.0
"ASL",131449295.0,"1002",93.0
"ASL",131449295.0,"1310",72.0
"DBS",131449295.0,"1203",73.0
"SSL",918210128.0,"1411",74.0
"ADB",918210128.0,"1005",60.0
"PWA1",918210128.0,"1003",61.0
"DBS",918210128.0,"1112",95.0
"ADT",918210128.0,"1202",80.0
"PWA1",918210128.0,"1409",66.0
"ATW",970418205.0,"1102",67.0
"DBS",970418205.0,"1202",81.0
"WPP",970418205.0,"1210",75.0
"PWA2",970418205.0,"1306",98.0
"SMS",970418205.0,"1209",66.0
"ATW",970418205.0,"1207",96.0
"ATW",178070337.0,"1207",90.0
"SMS",178070337.0,"1109",100.0
"ADB",178070337.0,"1409",100.0
"PWA2",178070337.0,"1104",79.0
"ASL",178070337.0,"1304",89.0
"PWA2",178070337.0,"1108",85.0
"PWA2",821840802.0,"1006",74.0
"ATW",821840802.0,"1006",77.0
"PWA2",821840802.0,"1001",60.0
"PWA1",821840802.0,"1006",93.0
"WPP",821840802.0,"1211",98.0
"ATW",821840802.0,"1111",80.0
"SSL",640714913.0,"1311",69.0
"SSL",640714913.0,"1401",74.0
"WPP",640714913.0,"1204",75.0
"WPP",640714913.0,"1301",60.0
"ADT",640714913.0,"1011",96.0
"ADT",640714913.0,"1308",63.0
"DBS",601993912.0,"1412",78.0
"SMS",601993912.0,"1201",61.0
"DBS",601993912.0,"1104",70.0
"PWA2",601993912.0,"1307",90.0
"ADB",601993912.0,"1407",89.0
"ADT",601993912.0,"1207",64.0
"PWA1",498613709.0,"1303",62.0
"PWA1",498613709.0,"1408",87.0
"ADB",498613709.0,"1001",72.0
"DBS",498613709.0,"1010",74.0
"ADT",498613709.0,"1009",61.0
"ADB",498613709.0,"1201",79.0
"ADT",766132682.0,"1208",72.0
"DBS",766132682.0,"1009",70.0
"DBS",766132682.0,"1301",67.0
"PWA1",766132682.0,"1312",77.0
"ADB",766132682.0,"1107",94.0
"ADT",766132682.0,"1403",61.0
"ADB",375790512.0,"1201",72.0
"ATW",375790512.0,"1001",81.0
"ADB",375790512.0,"1102",89.0
"SMS",375790512.0,"1101",95.0
"ASL",375790512.0,"1103",65.0
"ASL",375790512.0,"1311",77.0
"SMS",759854364.0,"1201",100.0
"ATW",759854364.0,"1304",62.0
"ATW",759854364.0,"1202",87.0
"PWA1",759854364.0,"1304",100.0
"ADB",759854364.0,"1001",65.0
"ASL",759854364.0,"1407",74.0
"PWA2",711710719.0,"1211",83.0
"ASL",711710719.0,"1004",76.0
"ADT",711710719.0,"1111",91.0
"ADB",711710719.0,"1406",65.0
"SMS",711710719.0,"1010",89.0
"WPP",711710719.0,"1306",77.0
"WPP",662412666.0,"1209",67.0
"PWA1",662412666.0,"1411",76.0
"PWA1",662412666.0,"1205",91.0
"ATW",662412666.0,"1311",60.0
"ASL",662412666.0,"1307",84.0
"SMS",662412666.0,"1308",68.0
"ADB",445477278.0,"1304",95.0
"PWA1",445477278.0,"1006",82.0
"ADT",445477278.0,"1305",88.0
"ASL",445477278.0,"1406",98.0
"ASL",445477278.0,"1109",98.0
"SSL",445477278.0,"1308",91.0
"ASL",285911302.0,"1412",94.0
"PWA1",285911302.0,"1203",89.0
"ADT",285911302.0,"1010",92.0
"PWA1",285911302.0,"1108",68.0
"PWA1",285911302.0,"1109",81.0
"DBS",285911302.0,"1309",97.0
"WPP",680813484.0,"1001",69.0
"SSL",680813484.0,"1106",88.0
"SMS",680813484.0,"1110",91.0
"SSL",680813484.0,"1207",82.0
"PWA2",680813484.0,"1102",84.0
"ADB",680813484.0,"1104",68.0
"WPP",852177475.0,"1409",82.0
"ASL",852177475.0,"1003",95.0
"WPP",852177475.0,"1208",78.0
"ASL",852177475.0,"1109",65.0
"ADB",852177475.0,"1208",87.0
"SSL",852177475.0,"1012",74.0
"SMS",601130261.0,"1108",95.0
"DBS",601130261.0,"1309",75.0
"SMS",601130261.0,"1103",79.0
"PWA1",601130261.0,"1008",95.0
"WPP",601130261.0,"1009",63.0
"SMS",601130261.0,"1403",74.0
"PWA1",902096199.0,"1108",95.0
"ADT",902096199.0,"1405",100.0
"PWA2",902096199.0,"1106",66.0
"ADB",902096199.0,"1407",70.0
"ATW",902096199.0,"1009",66.0
"SSL",902096199.0,"1211",90.0
"PWA2",957977381.0,"1202",68.0
"SSL",957977381.0,"1302",73.0
"DBS",957977381.0,"1401",68.0
"ADT",957977381.0,"1009",86.0
"SMS",957977381.0,"1408",75.0
"ADT",957977381.0,"1406",79.0
"PWA2",634405703.0,"1002",79.0
"ADT",634405703.0,"1206",80.0
"PWA1",634405703.0,"1306",68.0
"WPP",634405703.0,"1306",88.0
"SMS",634405703.0,"1301",96.0
"DBS",634405703.0,"1306",72.0
"SSL",809820234.0,"1303",69.0
"PWA2",809820234.0,"1310",76.0
"PWA1",809820234.0,"1104",74.0
"SSL",809820234.0,"1312",75.0
"ATW",809820234.0,"1002",100.0
"WPP",809820234.0,"1310",73.0
"ADB",745889465.0,"1307",65.0
"ADB",745889465.0,"1412",93.0
"ADB",745889465.0,"1001",95.0
"PWA1",745889465.0,"1210",72.0
"ADB",745889465.0,"1001",82.0
"ADT",745889465.0,"1210",67.0
"ASL",793466769.0,"1404",84.0
"PWA1",793466769.0,"1004",97.0
"DBS",793466769.0,"1212",84.0
"WPP",793466769.0,"1409",83.0
"DBS",793466769.0,"1207",72.0
"PWA2",793466769.0,"1401",78.0
"ATW",645594015.0,"1205",75.0
"SSL",645594015.0,"1402",80.0
"ADB",645594015.0,"1308",75.0
"ADT",645594015.0,"1202",82.0
"DBS",645594015.0,"1312",75.0
"ADB",645594015.0,"1203",97.0
"ATW",588074350.0,"1112",84.0
"SSL",588074350.0,"1403",66.0
"PWA1",588074350.0,"1211",64.0
"ADB",588074350.0,"1104",80.0
"WPP",588074350.0,"1307",84.0
"ADB",588074350.0,"1002",80.0
"PWA1",572223823.0,"1407",90.0
"ATW",572223823.0,"1304",60.0
"ADB",572223823.0,"1409",80.0
"ATW",572223823.0,"1409",87.0
"ASL",572223823.0,"1405",60.0
"SMS",572223823.0,"1401",94.0
"ASL",649799651.0,"1308",91.0
"SSL",649799651.0,"1304",60.0
"DBS",649799651.0,"1010",98.0
"SMS",649799651.0,"1307",67.0
"PWA1",649799651.0,"1004",73.0
"DBS",649799651.0,"1401",84.0
"ADT",142992983.0,"1303",61.0
"DBS",142992983.0,"1308",70.0
"ATW",142992983.0,"1205",61.0
"ASL",142992983.0,"1204",89.0
"PWA1",142992983.0,"1101",100.0
"ADT",142992983.0,"1106",93.0
"ASL",818030949.0,"1206",93.0
"ADB",818030949.0,"1310",98.0
"ADT",818030949.0,"1407",91.0
"ASL",818030949.0,"1302",98.0
"SMS",818030949.0,"1008",83.0
"DBS",818030949.0,"1110",89.0
"DBS",797322565.0,"1208",70.0
"ADT",797322565.0,"1001",97.0
"PWA1",797322565.0,"1402",74.0
"ADT",797322565.0,"1005",83.0
"DBS",797322565.0,"1002",75.0
"ATW",797322565.0,"1007",79.0
"ATW",232951846.0,"1401",97.0
"ADB",232951846.0,"1209",67.0
"ADB",232951846.0,"1407",68.0
"ADT",232951846.0,"1210",96.0
"ADT",232951846.0,"1007",85.0
"SSL",232951846.0,"1003",89.0
"ADT",618348188.0,"1004",64.0
"ADB",618348188.0,"1003",80.0
"WPP",618348188.0,"1003",80.0
"WPP",618348188.0,"1107",92.0
"ADT",618348188.0,"1310",72.0
"SSL",618348188.0,"1311",88.0
"PWA2",534900505.0,"1106",87.0
"PWA2",534900505.0,"1304",60.0
"ATW",534900505.0,"1107",60.0
"SSL",534900505.0,"1001",91.0
"ASL",534900505.0,"1208",83.0
"ASL",534900505.0,"1106",97.0
"ASL",775813911.0,"1211",85.0
"ADT",775813911.0,"1002",76.0
"ADB",775813911.0,"1305",69.0
"PWA2",775813911.0,"1103",76.0
"SSL",775813911.0,"1101",100.0
"DBS",775813911.0,"1303",94.0
"PWA2",789738575.0,"1410",68.0
"WPP",789738575.0,"1412",75.0
